date,ndc,drug_name,category,rx_fill_count,units_dispensed
2024-01-01,57237-0001-01,Metformin 500mg,chronic,25,1290
2024-01-01,57237-0002-01,Metformin 1000mg,chronic,16,1080
2024-01-01,57237-0011-01,Lisinopril 10mg,chronic,21,1410
2024-01-01,57237-0012-01,Lisinopril 20mg,chronic,17,1230
2024-01-01,57237-0021-01,Atorvastatin 20mg,chronic,13,750
2024-01-01,57237-0022-01,Atorvastatin 40mg,chronic,16,1140
2024-01-01,57237-0031-01,Amlodipine 5mg,chronic,15,810
2024-01-01,57237-0032-01,Amlodipine 10mg,chronic,7,450
2024-01-01,57237-0041-01,Omeprazole 20mg,chronic,16,960
2024-01-01,57237-0042-01,Omeprazole 40mg,chronic,20,1140
2024-01-01,57237-0051-01,Losartan 50mg,chronic,18,1020
2024-01-01,57237-0052-01,Losartan 100mg,chronic,9,630
2024-01-01,57237-0061-01,Gabapentin 300mg,chronic,12,1080
2024-01-01,57237-0062-01,Gabapentin 600mg,chronic,10,900
2024-01-01,57237-0071-01,Levothyroxine 50mcg,chronic,22,1320
2024-01-01,57237-0072-01,Levothyroxine 100mcg,chronic,7,390
2024-01-01,57237-0081-01,Metoprolol 25mg,chronic,15,750
2024-01-01,57237-0082-01,Metoprolol 50mg,chronic,6,420
2024-01-01,57237-0091-01,Sertraline 50mg,chronic,15,750
2024-01-01,57237-0092-01,Sertraline 100mg,chronic,9,570
2024-01-01,57237-0101-01,Escitalopram 10mg,chronic,12,720
2024-01-01,57237-0111-01,Bupropion SR 150mg,chronic,8,240
2024-01-01,57237-0121-01,Hydrochlorothiazide 25mg,chronic,11,750
2024-01-01,57237-0131-01,Furosemide 40mg,chronic,14,780
2024-01-01,57237-0141-01,Carvedilol 6.25mg,chronic,16,1200
2024-01-01,57237-0151-01,Pantoprazole 40mg,chronic,8,420
2024-01-01,57237-0161-01,Montelukast 10mg,chronic,13,690
2024-01-01,57237-0171-01,Glipizide 5mg,chronic,12,660
2024-01-01,57237-0181-01,Tamsulosin 0.4mg,chronic,7,510
2024-01-01,57237-0191-01,Alendronate 70mg,chronic,6,64
2024-01-01,57237-0201-01,Amoxicillin 500mg,seasonal,19,298
2024-01-01,57237-0202-01,Amoxicillin 875mg,seasonal,8,96
2024-01-01,57237-0211-01,Azithromycin 250mg,seasonal,9,54
2024-01-01,57237-0221-01,Albuterol Inhaler,seasonal,21,21
2024-01-01,57237-0231-01,Oseltamivir 75mg,seasonal,4,40
2024-01-01,57237-0241-01,Cetirizine 10mg,seasonal,7,390
2024-01-01,57237-0242-01,Loratadine 10mg,seasonal,8,360
2024-01-01,57237-0243-01,Fexofenadine 180mg,seasonal,10,600
2024-01-01,57237-0251-01,Fluticasone Nasal 50mcg,seasonal,3,3
2024-01-01,57237-0261-01,Prednisone 20mg,seasonal,9,65
2024-01-01,57237-0271-01,Doxycycline 100mg,seasonal,5,91
2024-01-01,57237-0281-01,Cephalexin 500mg,seasonal,14,152
2024-01-01,57237-0291-01,Trimethoprim/Sulfa DS,seasonal,3,34
2024-01-01,57237-0301-01,Promethazine 25mg,seasonal,2,32
2024-01-01,57237-0311-01,Ondansetron 4mg,seasonal,3,36
2024-01-01,57237-0401-01,Ibuprofen 600mg,other,10,420
2024-01-01,57237-0402-01,Ibuprofen 800mg,other,17,750
2024-01-01,57237-0411-01,Cyclobenzaprine 10mg,other,4,105
2024-01-01,57237-0421-01,Tramadol 50mg,other,10,480
2024-01-01,57237-0431-01,Oxycodone/APAP 5/325mg,other,3,70
2024-01-01,57237-0441-01,Methylprednisolone 4mg,other,7,147
2024-01-01,57237-0451-01,Clonazepam 0.5mg,other,6,360
2024-01-01,57237-0461-01,Alprazolam 0.5mg,other,3,150
2024-01-01,57237-0471-01,Zolpidem 10mg,other,4,120
2024-01-01,57237-0481-01,Hydroxyzine 25mg,other,9,360
2024-01-01,57237-0491-01,Linaclotide 145mcg,other,3,150
2024-01-01,57237-0501-01,Insulin Glargine U-100,other,9,19
2024-01-01,57237-0511-01,Insulin Aspart U-100,other,3,3
2024-01-01,57237-0521-01,Methotrexate 2.5mg,other,1,4
2024-01-01,57237-0531-01,Allopurinol 300mg,other,7,450
2024-01-01,57237-0541-01,Colchicine 0.6mg,other,7,210
2024-01-01,57237-0551-01,Finasteride 5mg,other,6,300
2024-01-01,57237-0561-01,Sildenafil 50mg,other,3,48
2024-01-01,57237-0571-01,Topiramate 25mg,other,2,60
2024-01-01,57237-0581-01,Quetiapine 25mg,other,2,120
2024-01-01,57237-0591-01,Aripiprazole 10mg,other,2,60
2024-01-01,57237-0601-01,Duloxetine 30mg,other,15,810
2024-01-01,57237-0611-01,Venlafaxine ER 75mg,other,7,450
2024-01-01,57237-0621-01,Memantine 10mg,other,1,60
2024-01-01,57237-0631-01,Donepezil 10mg,other,5,150
2024-01-01,57237-0641-01,Rosuvastatin 20mg,other,15,990
2024-01-01,57237-0651-01,Ezetimibe 10mg,other,3,150
2024-01-01,57237-0661-01,Clopidogrel 75mg,other,9,330
2024-01-01,57237-0671-01,Warfarin 5mg,other,9,510
2024-01-01,57237-0681-01,Rivaroxaban 20mg,other,1,90
2024-01-01,57237-0691-01,Apixaban 5mg,other,7,420
2024-01-01,57237-0701-01,Spironolactone 25mg,other,9,510
2024-01-01,57237-0711-01,Clindamycin 300mg,other,2,56
2024-01-01,57237-0721-01,Nitrofurantoin 100mg,other,3,42
2024-01-01,57237-0731-01,Ciprofloxacin 500mg,other,4,48
2024-01-01,57237-0741-01,Metronidazole 500mg,other,4,77
2024-01-01,57237-0751-01,Valacyclovir 500mg,other,8,148
2024-01-01,57237-0761-01,Acyclovir 400mg,other,8,148
2024-01-01,57237-0771-01,Fluconazole 150mg,other,6,6
2024-01-01,57237-0781-01,Nystatin Oral Susp,other,2,2
2024-01-01,57237-0791-01,Latanoprost 0.005%,other,8,8
2024-01-01,57237-0801-01,Timolol 0.5% Eye,other,4,4
2024-01-01,57237-0811-01,Metoclopramide 10mg,other,1,30
2024-01-01,57237-0821-01,Dicyclomine 20mg,other,2,90
2024-01-01,57237-0831-01,Famotidine 40mg,other,10,660
2024-01-01,57237-0841-01,Lactulose Solution,other,2,2
2024-01-01,57237-0851-01,Polyethylene Glycol 3350,other,8,8
2024-01-01,57237-0861-01,Testosterone Cypionate,other,2,2
2024-01-01,57237-0871-01,Progesterone 200mg,other,2,60
2024-01-01,57237-0881-01,Estradiol 1mg,other,3,150
2024-01-01,57237-0891-01,Norethindrone/EE,other,4,112
2024-01-02,57237-0001-01,Metformin 500mg,chronic,29,1590
2024-01-02,57237-0002-01,Metformin 1000mg,chronic,16,1140
2024-01-02,57237-0011-01,Lisinopril 10mg,chronic,20,960
2024-01-02,57237-0012-01,Lisinopril 20mg,chronic,6,420
2024-01-02,57237-0021-01,Atorvastatin 20mg,chronic,18,1020
2024-01-02,57237-0022-01,Atorvastatin 40mg,chronic,17,1290
2024-01-02,57237-0031-01,Amlodipine 5mg,chronic,21,1050
2024-01-02,57237-0032-01,Amlodipine 10mg,chronic,9,510
2024-01-02,57237-0041-01,Omeprazole 20mg,chronic,25,1590
2024-01-02,57237-0042-01,Omeprazole 40mg,chronic,12,600
