feature,importance
lag_2,123564435.30742359
lag_4,35360117.38837528
lag_8,5279584.21930933
week_of_year,771057.3294482231
lag_1,594064.1715521812
roll_mean_8,585880.157763958
lag_13,579837.9050326347
roll_mean_4,509540.3774814606
roll_mean_13,375232.22925138474
year_offset,345195.5594878197
category_enc,316702.53144454956
payday_week,178338.26554632187
month,129026.54345035553
allergy_index,105597.50580215454
flu_index,90082.01427936554
quarter,6183.722455978394
avg_daily_rx,0.0
log_avg_daily_rx,0.0
