ds,ndc,drug_name,category,y,source,population,weight,yhat
2025-01-06,57237000101,Metformin 500mg,chronic,117.0,synthetic,5000,0.5,167.2
2025-01-13,57237000101,Metformin 500mg,chronic,128.0,synthetic,5000,0.5,14.0
2025-01-20,57237000101,Metformin 500mg,chronic,154.0,synthetic,5000,0.5,116.7
2025-01-27,57237000101,Metformin 500mg,chronic,123.0,synthetic,5000,0.5,101.8
2025-02-03,57237000101,Metformin 500mg,chronic,143.0,synthetic,5000,0.5,33.2
2025-02-10,57237000101,Metformin 500mg,chronic,135.0,synthetic,5000,0.5,110.8
2025-02-17,57237000101,Metformin 500mg,chronic,125.0,synthetic,5000,0.5,91.0
2025-02-24,57237000101,Metformin 500mg,chronic,105.0,synthetic,5000,0.5,44.8
2025-03-03,57237000101,Metformin 500mg,chronic,141.0,synthetic,5000,0.5,113.1
2025-03-10,57237000101,Metformin 500mg,chronic,135.0,synthetic,5000,0.5,73.9
2025-03-17,57237000101,Metformin 500mg,chronic,121.0,synthetic,5000,0.5,57.7
2025-03-24,57237000101,Metformin 500mg,chronic,140.0,synthetic,5000,0.5,94.3
2025-03-31,57237000101,Metformin 500mg,chronic,156.0,synthetic,5000,0.5,66.5
2025-04-07,57237000101,Metformin 500mg,chronic,106.0,synthetic,5000,0.5,79.5
2025-04-14,57237000101,Metformin 500mg,chronic,131.0,synthetic,5000,0.5,93.8
2025-04-21,57237000101,Metformin 500mg,chronic,134.0,synthetic,5000,0.5,72.6
2025-04-28,57237000101,Metformin 500mg,chronic,154.0,synthetic,5000,0.5,82.9
2025-05-05,57237000101,Metformin 500mg,chronic,129.0,synthetic,5000,0.5,96.0
2025-05-12,57237000101,Metformin 500mg,chronic,130.0,synthetic,5000,0.5,73.0
2025-05-19,57237000101,Metformin 500mg,chronic,131.0,synthetic,5000,0.5,84.2
2025-05-26,57237000101,Metformin 500mg,chronic,134.0,synthetic,5000,0.5,92.4
2025-06-02,57237000101,Metformin 500mg,chronic,141.0,synthetic,5000,0.5,79.6
2025-06-09,57237000101,Metformin 500mg,chronic,135.0,synthetic,5000,0.5,76.3
2025-06-16,57237000101,Metformin 500mg,chronic,150.0,synthetic,5000,0.5,77.2
2025-06-23,57237000101,Metformin 500mg,chronic,129.0,synthetic,5000,0.5,72.1
2025-06-30,57237000101,Metformin 500mg,chronic,147.0,synthetic,5000,0.5,79.9
2025-01-06,57237000201,Metformin 1000mg,chronic,72.0,synthetic,5000,0.5,89.5
2025-01-13,57237000201,Metformin 1000mg,chronic,108.0,synthetic,5000,0.5,80.6
2025-01-20,57237000201,Metformin 1000mg,chronic,76.0,synthetic,5000,0.5,92.9
2025-01-27,57237000201,Metformin 1000mg,chronic,74.0,synthetic,5000,0.5,67.6
2025-02-03,57237000201,Metformin 1000mg,chronic,74.0,synthetic,5000,0.5,76.3
2025-02-10,57237000201,Metformin 1000mg,chronic,88.0,synthetic,5000,0.5,83.5
2025-02-17,57237000201,Metformin 1000mg,chronic,84.0,synthetic,5000,0.5,79.8
2025-02-24,57237000201,Metformin 1000mg,chronic,104.0,synthetic,5000,0.5,78.6
2025-03-03,57237000201,Metformin 1000mg,chronic,79.0,synthetic,5000,0.5,81.4
2025-03-10,57237000201,Metformin 1000mg,chronic,93.0,synthetic,5000,0.5,69.5
2025-03-17,57237000201,Metformin 1000mg,chronic,87.0,synthetic,5000,0.5,81.3
2025-03-24,57237000201,Metformin 1000mg,chronic,96.0,synthetic,5000,0.5,65.5
2025-03-31,57237000201,Metformin 1000mg,chronic,97.0,synthetic,5000,0.5,72.6
2025-04-07,57237000201,Metformin 1000mg,chronic,78.0,synthetic,5000,0.5,81.1
2025-04-14,57237000201,Metformin 1000mg,chronic,93.0,synthetic,5000,0.5,75.1
2025-04-21,57237000201,Metformin 1000mg,chronic,103.0,synthetic,5000,0.5,74.1
2025-04-28,57237000201,Metformin 1000mg,chronic,94.0,synthetic,5000,0.5,81.7
2025-05-05,57237000201,Metformin 1000mg,chronic,82.0,synthetic,5000,0.5,72.5
2025-05-12,57237000201,Metformin 1000mg,chronic,90.0,synthetic,5000,0.5,72.6
2025-05-19,57237000201,Metformin 1000mg,chronic,85.0,synthetic,5000,0.5,83.7
2025-05-26,57237000201,Metformin 1000mg,chronic,84.0,synthetic,5000,0.5,76.5
2025-06-02,57237000201,Metformin 1000mg,chronic,105.0,synthetic,5000,0.5,76.5
2025-06-09,57237000201,Metformin 1000mg,chronic,86.0,synthetic,5000,0.5,75.1
2025-06-16,57237000201,Metformin 1000mg,chronic,99.0,synthetic,5000,0.5,68.6
2025-06-23,57237000201,Metformin 1000mg,chronic,75.0,synthetic,5000,0.5,75.0
2025-06-30,57237000201,Metformin 1000mg,chronic,100.0,synthetic,5000,0.5,72.3
2025-01-06,57237001101,Lisinopril 10mg,chronic,107.0,synthetic,5000,0.5,131.1
2025-01-13,57237001101,Lisinopril 10mg,chronic,122.0,synthetic,5000,0.5,29.0
2025-01-20,57237001101,Lisinopril 10mg,chronic,95.0,synthetic,5000,0.5,103.2
