ndc,drug_name,category,avg_daily_rx_fills,pack_sizes,unit_cost_usd,shelf_life_days
57237-0001-01,Metformin 500mg,chronic,18,30|90,2.91,365
57237-0002-01,Metformin 1000mg,chronic,12,30|90,3.36,365
57237-0011-01,Lisinopril 10mg,chronic,15,30|90,1.07,730
57237-0012-01,Lisinopril 20mg,chronic,10,30|90,0.53,730
57237-0021-01,Atorvastatin 20mg,chronic,14,30|90,4.02,365
57237-0022-01,Atorvastatin 40mg,chronic,11,30|90,2.69,365
57237-0031-01,Amlodipine 5mg,chronic,13,30|90,0.21,365
57237-0032-01,Amlodipine 10mg,chronic,8,30|90,1.11,730
57237-0041-01,Omeprazole 20mg,chronic,16,30|90,0.2,365
57237-0042-01,Omeprazole 40mg,chronic,9,30|90,3.24,730
57237-0051-01,Losartan 50mg,chronic,11,30|90,2.49,365
57237-0052-01,Losartan 100mg,chronic,7,30|90,2.07,548
57237-0061-01,Gabapentin 300mg,chronic,10,90,3.66,365
57237-0062-01,Gabapentin 600mg,chronic,7,90,3.43,365
57237-0071-01,Levothyroxine 50mcg,chronic,12,30|90,3.17,548
57237-0072-01,Levothyroxine 100mcg,chronic,9,30|90,1.31,365
57237-0081-01,Metoprolol 25mg,chronic,11,30|90,4.31,548
57237-0082-01,Metoprolol 50mg,chronic,9,30|90,0.53,548
57237-0091-01,Sertraline 50mg,chronic,10,30|90,0.51,548
57237-0092-01,Sertraline 100mg,chronic,7,30|90,2.75,365
57237-0101-01,Escitalopram 10mg,chronic,9,30|90,3.31,730
57237-0111-01,Bupropion SR 150mg,chronic,8,30|90,0.63,548
57237-0121-01,Hydrochlorothiazide 25mg,chronic,10,30|90,0.43,548
57237-0131-01,Furosemide 40mg,chronic,8,30|90,3.75,730
57237-0141-01,Carvedilol 6.25mg,chronic,7,60|90,3.99,548
57237-0151-01,Pantoprazole 40mg,chronic,10,30|90,2.63,730
57237-0161-01,Montelukast 10mg,chronic,9,30|90,0.39,730
57237-0171-01,Glipizide 5mg,chronic,7,30|90,1.09,548
57237-0181-01,Tamsulosin 0.4mg,chronic,6,30|90,4.43,365
57237-0191-01,Alendronate 70mg,chronic,4,4|12,3.91,548
57237-0201-01,Amoxicillin 500mg,seasonal,6,10|14|21,1.31,730
57237-0202-01,Amoxicillin 875mg,seasonal,4,10|14,3.77,365
57237-0211-01,Azithromycin 250mg,seasonal,3,6,1.72,365
57237-0221-01,Albuterol Inhaler,seasonal,8,1,3.04,730
57237-0231-01,Oseltamivir 75mg,seasonal,2,10,4.22,730
57237-0241-01,Cetirizine 10mg,seasonal,9,30|90,0.4,730
57237-0242-01,Loratadine 10mg,seasonal,8,30|90,0.84,730
57237-0243-01,Fexofenadine 180mg,seasonal,6,30|90,1.16,548
57237-0251-01,Fluticasone Nasal 50mcg,seasonal,5,1,1.76,730
57237-0261-01,Prednisone 20mg,seasonal,4,5|7|10,3.12,365
57237-0271-01,Doxycycline 100mg,seasonal,3,14|21,3.11,365
57237-0281-01,Cephalexin 500mg,seasonal,4,10|14,1.09,365
57237-0291-01,Trimethoprim/Sulfa DS,seasonal,3,10|14,3.64,548
57237-0301-01,Promethazine 25mg,seasonal,3,12|20,1.26,365
57237-0311-01,Ondansetron 4mg,seasonal,4,9|18,4.12,730
57237-0401-01,Ibuprofen 600mg,other,8,30|60,3.95,548
57237-0402-01,Ibuprofen 800mg,other,6,30|60,1.02,548
57237-0411-01,Cyclobenzaprine 10mg,other,5,15|30,1.83,730
57237-0421-01,Tramadol 50mg,other,5,30|60,2.11,548
57237-0431-01,Oxycodone/APAP 5/325mg,other,3,20|30,0.7,730
57237-0441-01,Methylprednisolone 4mg,other,4,21,2.56,548
57237-0451-01,Clonazepam 0.5mg,other,4,30|90,3.38,548
57237-0461-01,Alprazolam 0.5mg,other,3,30|90,4.05,548
57237-0471-01,Zolpidem 10mg,other,4,30,1.68,365
57237-0481-01,Hydroxyzine 25mg,other,5,30|60,2.33,365
57237-0491-01,Linaclotide 145mcg,other,3,30|90,3.42,365
57237-0501-01,Insulin Glargine U-100,other,4,1|3,0.76,365
57237-0511-01,Insulin Aspart U-100,other,3,1|3,3.58,548
57237-0521-01,Methotrexate 2.5mg,other,2,4|8,2.72,548
57237-0531-01,Allopurinol 300mg,other,5,30|90,1.77,548
57237-0541-01,Colchicine 0.6mg,other,4,30|60,2.42,730
57237-0551-01,Finasteride 5mg,other,4,30|90,3.88,365
57237-0561-01,Sildenafil 50mg,other,3,6|12|30,3.09,365
57237-0571-01,Topiramate 25mg,other,3,30|90,3.09,730
57237-0581-01,Quetiapine 25mg,other,4,30|90,3.4,730
57237-0591-01,Aripiprazole 10mg,other,3,30,1.58,548
57237-0601-01,Duloxetine 30mg,other,5,30|90,2.0,548
57237-0611-01,Venlafaxine ER 75mg,other,5,30|90,0.09,730
57237-0621-01,Memantine 10mg,other,3,30|60,3.95,548
57237-0631-01,Donepezil 10mg,other,4,30,4.38,365
57237-0641-01,Rosuvastatin 20mg,other,8,30|90,2.32,365
57237-0651-01,Ezetimibe 10mg,other,5,30|90,3.93,548
57237-0661-01,Clopidogrel 75mg,other,6,30|90,3.8,730
57237-0671-01,Warfarin 5mg,other,5,30|90,2.77,365
